,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,71,122,5,2,1146,85,0,5,4.8374877,0.0,2,0,6.146922,0.0058845934,21690.2525334353,29.733166209403425,66901.16,105.56862,6085862,126,1,0.0,30179.574,0,9,8,26.792274,0.0077186828,13,43,0,53,20,8.62469,5135.6396,0,6,1195.5228,0.009036291,4492.709,0,0,0,0,0,0,0,1,50.380657,45.88556,0.007725017,37,1,219,2,285,693,1863,6,20,1.401833e-20,0.0,0,0,4.7176474e-30,0.0068870634,72298944,0,BENIGN
1,423,262717,1,27,132,66,73,5,33.754208,3.296778e-27,383,2,181.50398,0.0058849426,1220681.246183492,14.897110707679818,112511.414,560842.44,2668132,114,1218997,0.4950667,6653036.5,0,63,1,63272.453,0.0077186828,0,32,0,60,163,16148.352,1.0671344,58,5045,243.681,154.6036,4514.2886,0,0,0,0,0,0,0,1,59.698513,1.7411953,0.007725017,19,8,77,7,34260,599,92,2,32,1.7662986e-20,0.0,0,0,0.0,0.0068870634,0,0,BENIGN
2,61528,43184,29,1,6805,115,34,25,28.16743,0.0,7499,3,0.0077250176,0.005885666,1.1541947023735831e-17,0.14308192995841398,23327.025,3506856.2,125,5,14,366162.84,0.02586435,1,3,8,0.0,0.0077186828,259736,1,0,30,301,22259.795,0.099444434,0,1360,52.664734,1.1007478,423.62033,1,1,0,0,0,0,0,1,22.301771,2.5088744,15.689882,209,8,69,1,20,248,351,9,20,1.8420188e-20,0.0,0,0,0.0,0.0068870634,0,14697035,BENIGN
3,81,93,2,1,74,12,6,5,1.3333334,0.0,97,138,0.007725017,0.0058850804,360.3093751123749,0.25804323163467424,29.064638,0.041909713,355013,176,485,568.24786,25037926.0,1898028,10,5,1.0135686,0.0077186828,386646,23,0,64,60,8615.634,4.0152264,74,1654,94.45626,0.009036291,1.476255e-26,0,0,0,0,0,1,0,0,120.952995,44.46328,0.007725017,20,2,5,21,5,33040,62,2,32,9.376596e-21,0.0,298906,0,0.0,0.0068870634,13963190,0,BENIGN
4,57,51,2,1,110,4,0,0,34.41915,236.67435,6369,0,0.0077250176,0.005884621,138591.33322540365,173.68430474020568,378.79712,30177.867,27681,195,96003016,1.1816831,4299643.0,0,53,487,7.1416698,0.0077186828,0,71,0,58,58,73.42382,0.27945662,0,6,38.41455,0.009036291,6.4844644e-26,0,0,0,1,1,0,0,1,33.473747,61.486225,73.822,68,3,497,1,107,234,8,1,40,1.0998127e-21,0.0,0,0,0.0,0.0068870634,0,0,BENIGN
5,74,4121609,12,1,106,105,8,0,41.07285,0.0,3665,0,480.57993,0.005885776,538.2601001614927,0.12598481458724767,46396.645,0.041909713,93,3,136,0.0,2341.3557,6,0,0,0.0,83382.516,0,0,0,40,138,14454.735,18.064878,5,1774,24.808876,2.949504,259843.94,0,0,0,0,0,0,0,1,57.060165,28.917288,0.007725017,19,2,43,7,54775,2512,-1,2,20,1.116826e-20,0.0,0,0,4.9902902e-30,0.0068870634,0,8654422,BENIGN
6,473,11223,5,4,3216,38,7,23,6.6401496,16.140713,202,0,0.007725017,0.0058846604,33119.99601143206,0.8642974962708793,1361241.0,244.98566,41337,247,15,0.0,0.02586435,1022551,28,16,17386.588,0.0077186828,0,35,0,59,270,113245.6,101.128815,54,15,4.7077994,3.82861,14164.382,0,0,0,0,0,0,0,1,769.1191,1.3333334,51.496796,158,4,69,2,0,2913,23,1,20,0.0,0.0,0,0,0.0,0.0068870634,0,17318761,BENIGN
7,54,59,3,2,122,0,26,0,22.561157,0.0,212,5,2422.248,0.0058850027,152.07698770386259,0.05892221254909036,13039.794,5054.3936,802,242,0,356867.4,0.02586435,0,22,0,46201.906,208.68262,90,31,0,31,20,461.31473,9560.393,37,5,4.800006,11.912753,13479.801,0,0,0,0,0,0,0,0,1.0,3.469895,4.5515294,19,3,69,2,50,-1,95,1,32,1.783669e-20,0.0,0,38479,0.0,0.0068870634,0,0,BENIGN
8,497,101889,2,1,152,256,29,0,29.697584,0.0,2,6,0.0077250176,0.00588513,210023.24421256746,0.059124747433490873,1983903.2,7641.3535,254,14,117308905,473890.97,436.75836,0,2,36565335,0.0,0.0077186828,3,41,1,346,20,14984.107,8.10238,0,4,51.94627,271.59543,6.754416e-26,0,0,0,1,1,0,0,1,1.0,4.1972556,0.007725017,22,2,187,1,14,26318,-1,1,32,2.5598865e-20,0.0,3723,0,0.0,0.0068870634,0,11017649,BENIGN
9,97,3429978,3,1,143,128,51,24,42.9155,0.0,5744,134,267.911,0.0058846837,3065.7972607804736,63.74200056711794,5117785.5,100332.06,1,9,46437,111042.04,4003.9897,3,1,63941,0.0,0.0077186828,215014,87542,1,53,73,1.9169561,8481.6045,0,0,7.685104,0.009036291,9.6388036e-26,0,0,0,0,0,0,0,1,50.726208,4.0709863,28.117712,64,2,34,5,11,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0068870634,18576093,15991748,BENIGN
